Location,Area,Class,Class Code,Start Date,End Date,Session,Link,Min Age,Max Age,Current Available spots,Last Updated
Dwight,Upper West Side,JavaScript and Virtual Reality,javascript,2018-06-18,2018-06-29,1,upperlinecodedwight.campbrainregistration.com,13,18,20,2017-12-11
LMHQ,Financial District,Web Development with Ruby,ruby,2018-06-18,2018-06-29,1,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
Greenwich Academy,"Greenwich, CT",JavaScript and Virtual Reality,javascript,2018-06-18,2018-06-29,1,upperlinecode.campbrainregistration.com,11,15,20,2017-12-11
Made in NY Media Center,"Brooklyn, NY",iOS Development with Swift,swift,2018-06-18,2018-06-29,1,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
Precise Location TBD,"Brooklyn, NY",Web Development with Ruby,ruby,2018-06-25,2018-07-06,2,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
Dwight,Upper West Side,Web Development with Ruby,ruby,2018-07-09,2018-07-20,3,upperlinecodedwight.campbrainregistration.com,13,18,20,2017-12-11
Dwight,Upper West Side,iOS Development with Swift,swift,2018-07-09,2018-07-20,3,upperlinecodedwight.campbrainregistration.com,13,18,20,2017-12-11
Precise Location TBD,"Brooklyn, NY",JavaScript and Virtual Reality,javascript,2018-07-09,2018-07-20,3,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
Trevor,Upper East Side,iOS Development with Swift,swift,2018-07-16,2018-07-27,4,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
Trevor,Upper East Side,JavaScript and Virtual Reality,javascript,2018-07-16,2018-07-27,4,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
Made in NY Media Center,"Brooklyn, NY",JavaScript and Virtual Reality,javascript,2018-07-16,2018-07-27,4,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
Precise Location TBD,"Brooklyn, NY",Web Development with Ruby,ruby,2018-07-16,2018-07-27,4,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
Dwight,Upper West Side,Web Development with Ruby,ruby,2018-07-23,2018-08-03,5,upperlinecodedwight.campbrainregistration.com,13,18,20,2017-12-11
Dwight,Upper West Side,JavaScript and Virtual Reality,javascript,2018-07-23,2018-08-03,5,upperlinecodedwight.campbrainregistration.com,13,18,20,2017-12-11
LMHQ,Financial District,iOS Development with Swift,swift,2018-07-23,2018-08-03,5,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
Precise Location TBD,"Brooklyn, NY",Web Development with Ruby,ruby,2018-07-23,2018-08-03,5,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
Trevor,Upper East Side,iOS Development with Swift,swift,2018-07-30,2018-08-10,6,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
Trevor,Upper East Side,Web Development with Ruby,ruby,2018-07-30,2018-08-10,6,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
Precise Location TBD,"Brooklyn, NY",iOS Development with Swift,swift,2018-07-30,2018-08-10,6,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
Dwight,Upper West Side,Web Development with Ruby,ruby,2018-08-06,2018-08-17,7,upperlinecodedwight.campbrainregistration.com,13,18,20,2017-12-11
LMHQ,Financial District,JavaScript and Virtual Reality,javascript,2018-08-06,2018-08-17,7,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
WorkSocial,"Jersey City, NJ",JavaScript and Virtual Reality,javascript,2018-08-06,2018-08-17,7,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
Precise Location TBD,"Brooklyn, NY",iOS Development with Swift,swift,2018-08-06,2018-08-17,7,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
Precise Location TBD,"Brooklyn, NY",JavaScript and Virtual Reality,javascript,2018-08-06,2018-08-17,7,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
Made in NY Media Center,"Brooklyn, NY",Web Development with Ruby,ruby,2018-08-13,2018-08-24,8,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
Precise Location TBD,"Queens, NY",JavaScript and Virtual Reality,javascript,TBD,TBD,,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
Precise Location TBD,"Queens, NY",Web Development with Ruby,ruby,TBD,TBD,,upperlinecode.campbrainregistration.com,13,18,20,2017-12-11
